MAIN_ID ID_NAME IDS ID_NGC ID_M ID_HD RA DEC OTYPE_V SP_TYPE PLX_VALUE Z_VALUE FLUX_V
"BD-20  3198C" 0 "BD-20  3198C|** DON  414C|CCDM J10310-2139C|DENIS J103103.4-213845|GEN# -0.02003198C|GJ  3609 C|IDS 10262-2107 C|2MASS J10310354-2138454|UCAC3 137-135586|UCAC4 342-059730|WDS J10310-2138C|[RHG95]  1652" 0 0 0 "10 31 03.544" "-21 38 45.41" "High proper-motion Star" 0 0.0 0.0 0.0
"G 124-44" 0 "GJ  1183 B|DENIS J142756.4-002218|GEN# +9.80124044|G 124-44|2MASS J14275640-0022191|PM J14279-0022En|UBV M  53761|UCAC3 180-125458|UCAC4 449-056089|USNO-B1.0 0896-00237173|USNO 152|WDS J14279-0032B|[GKL99] 300|[RHG95]  2285" 0 0 0 "14 27 56.3909" "-00 22 19.133" "Flare Star" M4.5 0.0 -0.019785 0.0
"G 118-43" 0 "G 118-43|GJ  3590|2MASS J10150690+3125110|NLTT 23785|PM J10151+3125|[RHG95]  1607" 0 0 0 "10 15 06.91" "+31 25 11.0" "High proper-motion Star" M4 0.0 0.0 0.0
"G  88-35" 0 "G  88-35|** WOR   27B|AC +17   378 B|CCDM J07321+1719B|GJ  3448|LSPM J0732+1719W|2MASS J07320215+1719125|NLTT 18020|PM J07320+1719W|UCAC4 537-041969|USNO-B1.0 1073-00172576|WDS J07320+1720B|[RHG95]  1188" 0 0 0 "07 32 02.1200" "+17 19 12.167" "High proper-motion Star" M3 40.4 0.340905 0.0
"G  74-34B" 0 "G  74-34B|** LDS 3404B|GJ  3170|LP  298-8|LSPM J0236+3204E|LTT 10855|NLTT  8466|WDS J02369+3204B|[RHG95]   466" 0 0 0 "02 36 47.861" "+32 04 23.07" "High proper-motion Star" M3 0.0 0.0 0.0
"CD-46 11540b" 0 "CD-46 11540b|GJ   674 b" 0 0 0 "17 28 39.9446" "-46 53 42.693" "Extra-solar Confirmed Planet" 0 220.11 0.0 0.0
"CD-44 11909c" 0 "CD-44 11909c|GJ   682 c" 0 0 0 "17 37 03.6624" "-44 19 09.169" "Extra-solar Confirmed Planet" 0 0.0 0.0 0.0
"CD-44 11909b" 0 "CD-44 11909b|GJ   682 b" 0 0 0 "17 37 03.6624" "-44 19 09.169" "Extra-solar Confirmed Planet" 0 0.0 0.0 0.0
"CD-44   170b" 0 "CD-44   170b|GJ    27.1 b" 0 0 0 "00 39 58.8259" "-44 15 11.598" "Extra-solar Confirmed Planet" 0 0.0 0.0 0.0
"CD-37 10765B" 0 "LHS   416|** LDS 6312B|CCDM J16201-3732B|CD-37 10765B|CSI-37 10765 22|GJ   618 B|LFT 1267|L  482-31|LTT  6509|2MASS J16200321-3731485|NLTT 42494|UCAC4 263-096732|WDS J16202-3734B|Zkh 222|[RHG95]  2569" 0 0 0 "16 20 03.212" "-37 31 48.59" "High proper-motion Star" M5: 0.0 0.0 0.0
